gvkey,fqtr,fyearq,datadate,tic,atq,dlcq,piq,tcorq
013041,4,2020,2020/12/31,SNV,54394.1590,235.6390,187.1290,545.9030
013041,1,2021,2021/03/31,SNV,55159.0110,293.6590,236.2540,522.7630
013041,2,2021,2021/06/30,SNV,54938.6590,194.7860,243.0130,519.8300
013041,3,2021,2021/09/30,SNV,55509.1290,262.5480,240.7080,526.4960
013041,4,2021,2021/12/31,SNV,57317.2260,564.1330,269.3850,535.1190
013041,1,2022,2022/03/31,SNV,56419.5490,501.1240,213.7320,521.3960
014140,1,2020,2020/03/31,SAN,1692627.4920,0.0000,2077.9300,13818.0710
014140,2,2020,2020/06/30,SAN,1770170.2010,0.0000,-9291.9470,1039.8790
014140,3,2020,2020/09/30,SAN,1778096.5790,0.0000,3373.0500,14117.8080
014140,4,2020,2020/12/31,SAN,1818023.4350,74549.5080,1338.5860,13418.8730
014140,1,2021,2021/03/31,SAN,1834388.7790,0.0000,3640.8920,14056.5200
014140,2,2021,2021/06/30,SAN,1859927.1880,0.0000,4557.0180,15014.4020
014140,3,2021,2021/09/30,SAN,1829353.5180,0.0000,4222.6780,14365.2060
014140,4,2021,2021/12/31,SAN,1814984.1900,67679.9790,4124.0890,15555.8200
014140,1,2022,2022/03/31,SAN,1850733.3460,0.0000,4633.4650,16971.9690
014172,1,2020,2020/03/31,FULT,22929.8590,1386.8080,28.8080,253.9760
014172,2,2020,2020/06/30,FULT,24617.8630,572.5510,46.1010,233.6130
014172,3,2020,2020/09/30,FULT,25543.2810,611.7270,71.1360,242.4050
014172,4,2020,2020/12/31,FULT,25906.7330,630.0660,56.1900,239.2190
014172,1,2021,2021/03/31,FULT,25892.9900,520.9890,86.9610,246.8580
014172,2,2021,2021/06/30,FULT,26079.7740,533.7490,76.9580,228.5270
014172,3,2021,2021/09/30,FULT,26390.8320,468.9670,89.8520,246.6560
014172,4,2021,2021/12/31,FULT,25796.3980,482.0770,80.4740,241.6000
014172,1,2022,2022/03/31,FULT,25598.3100,452.4400,77.5380,228.2380
014219,1,2020,2020/03/31,CADE,21032.5240,829.1860,30.0200,278.6450
014219,2,2020,2020/06/30,CADE,23236.1760,670.2360,79.3240,288.6680
014219,3,2020,2020/09/30,CADE,23555.4220,706.6720,95.3500,290.5760
014219,4,2020,2020/12/31,CADE,24081.1940,637.7150,82.8510,278.0500
014219,1,2021,2021/03/31,CADE,25802.4970,660.4850,104.9020,280.6370
014219,2,2021,2021/06/30,CADE,27612.3650,683.1350,96.6410,300.9760
014219,3,2021,2021/09/30,CADE,28060.4960,705.1230,93.0750,284.1260
014219,4,2021,2021/12/31,CADE,47669.7510,1282.1880,-47.6900,394.8580
014219,1,2022,2022/03/31,CADE,47204.0610,703.5600,148.5900,461.4620
